hex_id,model,train_rows,test_rows,mse,mae,status
2,hist_gradient_boosting,210,21,0.0462321174356461,0.11755233494363926,evaluated
3,hist_gradient_boosting,210,21,0.047156492151838224,0.1291422152734754,evaluated
4,hist_gradient_boosting,210,21,0.04538195590495528,0.0956981826547044,evaluated
6,hist_gradient_boosting,210,21,0.04879260392807966,0.1437773176903612,evaluated
7,hist_gradient_boosting,210,21,0.02199632083969096,0.14697239235776877,evaluated
8,hist_gradient_boosting,210,21,0.11441833120481928,0.3382577880918919,evaluated
9,hist_gradient_boosting,210,21,0.006744614810147262,0.08212560386473429,evaluated
12,hist_gradient_boosting,210,21,0.013207211672282785,0.11492263342041371,evaluated
13,hist_gradient_boosting,210,21,0.025515960121034725,0.15800450898411733,evaluated
14,hist_gradient_boosting,210,21,0.14269189207229951,0.37298346861904197,evaluated
15,hist_gradient_boosting,210,21,0.0680770324756212,0.22709579314338882,evaluated
16,hist_gradient_boosting,210,21,0.01129547947443348,0.10628019323671498,evaluated
21,hist_gradient_boosting,210,21,0.08022851023755932,0.25967080367326023,evaluated
22,hist_gradient_boosting,210,21,0.04753160870221758,0.13294801237345139,evaluated
23,hist_gradient_boosting,210,21,0.04833851785620199,0.2195114724416477,evaluated
24,hist_gradient_boosting,210,21,0.25268934350379657,0.36729021689635805,evaluated
25,hist_gradient_boosting,210,21,0.05209515958272076,0.1650019473171052,evaluated
26,hist_gradient_boosting,210,21,0.015970124488695763,0.1263729579011893,evaluated
27,hist_gradient_boosting,210,21,0.06928120340158363,0.2306627115957595,evaluated
28,hist_gradient_boosting,210,21,0.42152200943223983,0.31326073595496023,evaluated
29,hist_gradient_boosting,210,21,0.00282386986860837,0.05314009661835749,evaluated
31,hist_gradient_boosting,210,21,0.07153390546217715,0.2117446324424692,evaluated
32,hist_gradient_boosting,210,21,0.0419615438767021,0.1994188803399093,evaluated
33,hist_gradient_boosting,210,21,0.0033606385213190513,0.057971014492753624,evaluated
34,hist_gradient_boosting,210,21,0.01641494401955386,0.12812081805683992,evaluated
35,hist_gradient_boosting,210,21,0.00282386986860837,0.05314009661835749,evaluated
36,hist_gradient_boosting,210,21,0.0822255089384347,0.26445763198979555,evaluated
37,hist_gradient_boosting,210,21,0.07409397066672097,0.24409277272865992,evaluated
38,hist_gradient_boosting,210,21,0.060878740765149125,0.2034439301596302,evaluated
39,hist_gradient_boosting,210,21,0.04172961983694968,0.20427829017531368,evaluated
40,hist_gradient_boosting,210,21,0.005250997689561016,0.07246376811594206,evaluated
41,hist_gradient_boosting,210,21,0.005250997689561016,0.07246376811594206,evaluated
42,hist_gradient_boosting,210,21,0.03452995940911442,0.18369700695495433,evaluated
43,hist_gradient_boosting,210,21,0.12505709418122776,0.20841959972394755,evaluated
45,hist_gradient_boosting,210,21,0.005250997689561016,0.07246376811594206,evaluated
46,hist_gradient_boosting,210,21,0.08616970557739304,0.1734529560616517,evaluated
47,hist_gradient_boosting,210,21,0.004574202431795375,0.0676328502415459,evaluated
48,hist_gradient_boosting,210,21,0.014866512007482083,0.1219283068343118,evaluated
49,hist_gradient_boosting,210,21,0.0895187362614279,0.2808477888322458,evaluated
50,hist_gradient_boosting,210,21,0.18529306540083942,0.4239602642236395,evaluated
54,hist_gradient_boosting,210,21,0.006744614810147262,0.08212560386473429,evaluated
55,hist_gradient_boosting,210,21,0.04623211743564609,0.11755233494363926,evaluated
56,hist_gradient_boosting,210,21,0.047199837157484055,0.1296010100912287,evaluated
57,hist_gradient_boosting,210,21,0.04730232077428046,0.13066482631700022,evaluated
58,hist_gradient_boosting,210,21,0.006744614810147262,0.08212560386473429,evaluated
59,hist_gradient_boosting,210,21,0.00282386986860837,0.05314009661835749,evaluated
61,hist_gradient_boosting,210,21,0.004574202431795375,0.0676328502415459,evaluated
62,hist_gradient_boosting,210,21,0.08135507866606292,0.26239764391114623,evaluated
63,hist_gradient_boosting,210,21,0.12824085192989687,0.3581073190119087,evaluated
65,hist_gradient_boosting,210,21,0.08651576775927446,0.18743636235443722,evaluated
66,hist_gradient_boosting,210,21,0.18762121569820275,0.42374763397110016,evaluated
67,hist_gradient_boosting,210,21,0.09500175852200854,0.24718432330742038,evaluated
68,hist_gradient_boosting,210,21,0.07866010145861516,0.2558278887945861,evaluated
69,hist_gradient_boosting,210,21,0.08692985000483426,0.14998849781458473,evaluated
70,hist_gradient_boosting,210,21,0.005250997689561016,0.07246376811594206,evaluated
72,hist_gradient_boosting,210,21,0.005250997689561016,0.07246376811594206,evaluated
73,hist_gradient_boosting,210,21,0.12885781631843388,0.1877156659765355,evaluated
74,hist_gradient_boosting,210,21,0.1600491583202166,0.25958562756662085,evaluated
75,hist_gradient_boosting,210,21,0.020744943163906786,0.14403104930502583,evaluated
77,hist_gradient_boosting,210,21,0.00282386986860837,0.05314009661835749,evaluated
78,hist_gradient_boosting,210,21,0.009335107003664028,0.09661835748792272,evaluated
79,hist_gradient_boosting,210,21,0.05827011568006892,0.1935383696521486,evaluated
80,hist_gradient_boosting,210,21,0.25058335912043544,0.30230534561895883,evaluated
81,hist_gradient_boosting,210,21,0.525033980020108,0.518891944278718,evaluated
82,hist_gradient_boosting,210,21,0.015494485569093316,0.12447684752231362,evaluated
83,hist_gradient_boosting,210,21,0.05096459602124154,0.1649091068935836,evaluated
84,hist_gradient_boosting,210,21,0.04915388214230211,0.14649388752756945,evaluated
85,hist_gradient_boosting,210,21,0.007561436672967861,0.08695652173913042,evaluated
86,hist_gradient_boosting,210,21,0.008523744667003714,0.09189347955971311,evaluated
87,hist_gradient_boosting,210,21,0.0018903591682419652,0.04347826086956521,evaluated
88,hist_gradient_boosting,210,21,0.0033606385213190513,0.057971014492753624,evaluated
89,hist_gradient_boosting,210,21,0.02181048392154725,0.14459100455252022,evaluated
90,hist_gradient_boosting,210,21,0.10474630086605902,0.2826761027522252,evaluated
91,hist_gradient_boosting,210,21,0.5998006495267516,0.4029973128541509,evaluated
93,hist_gradient_boosting,210,21,0.04006409289547188,0.20016016810412576,evaluated
94,hist_gradient_boosting,210,21,0.0148516541349328,0.12186736287838847,evaluated
97,hist_gradient_boosting,210,21,0.009659099571461402,0.09828071820790381,evaluated
98,hist_gradient_boosting,210,21,0.045581993912176634,0.10443984357027833,evaluated
99,hist_gradient_boosting,210,21,0.04654217634683922,0.12192316540142624,evaluated
100,hist_gradient_boosting,210,21,0.5902142287567363,0.6260357370872764,evaluated
101,hist_gradient_boosting,210,21,0.04535195020387209,0.09132735219691741,evaluated
108,hist_gradient_boosting,210,21,0.3518023291208453,0.2918922068824317,evaluated
109,hist_gradient_boosting,210,21,0.12965463438053235,0.18426501035196682,evaluated
110,hist_gradient_boosting,210,21,0.01026709721189678,0.10132668558625997,evaluated
111,hist_gradient_boosting,210,21,0.006744614810147262,0.08212560386473429,evaluated
112,hist_gradient_boosting,210,21,0.0033606385213190513,0.057971014492753624,evaluated
114,hist_gradient_boosting,210,21,0.011542875933610109,0.1074377770321506,evaluated
120,hist_gradient_boosting,210,21,0.002333776750916007,0.04830917874396136,evaluated
121,hist_gradient_boosting,210,21,0.008424934070806791,0.09178743961352656,evaluated
122,hist_gradient_boosting,210,21,0.08641975308641976,0.1851851851851852,evaluated
123,hist_gradient_boosting,210,21,0.005825735016528073,0.07632650271385472,evaluated
125,hist_gradient_boosting,210,21,0.0459687340594713,0.11318150448585233,evaluated
126,hist_gradient_boosting,210,21,0.003944082709048054,0.06280193236714977,evaluated
127,hist_gradient_boosting,210,21,0.045968734059471314,0.11318150448585229,evaluated
